accountID,town,country,age,job,married,education,defaulted?,current_balance,housing,has_loan,last_contact,cc_tr,last_contact_day,last_contact_month,campaign,days_since_last_contact,previous,poutcome,made_deposit
15146088,Bedford,UK,39,admin.,married,primary,no,444,yes,no,cellular,5,8,may,2,-1,0,unknown,no
73070811,St Albans,UK,41,blue-collar,married,primary,no,512,yes,no,unknown,1,6,may,2,-1,0,unknown,no
68936923,Norwich,UK,26,technician,single,secondary,no,-211,yes,no,unknown,1,23,may,3,-1,0,unknown,no
21764696,London,UK,51,technician,married,secondary,no,100,no,no,cellular,5,2,feb,2,-1,0,unknown,yes
64608052,Leeds,UK,50,admin.,divorced,secondary,no,81,no,yes,cellular,1,21,nov,1,-1,0,unknown,no
70038338,County Down,UK,33,management,single,tertiary,no,30,yes,no,cellular,5,22,jul,1,-1,0,unknown,yes
24830032,Maidstone,UK,55,services,married,secondary,no,283,yes,no,unknown,2,19,may,1,-1,0,unknown,no
35615906,Southend-on-Sea,UK,53,management,married,unknown,no,527,yes,no,cellular,2,23,jul,3,-1,0,unknown,no
39380836,Oxford,UK,58,technician,married,secondary,no,3399,no,no,telephone,5,30,nov,2,188,8,success,yes
96194724,Swindon,UK,33,management,married,tertiary,no,1808,no,no,cellular,5,28,dec,3,-1,0,unknown,yes
66008598,Stoke-on-Trent,UK,42,blue-collar,married,unknown,no,149,yes,no,telephone,2,23,jul,3,-1,0,unknown,no
23988434,Worthing,UK,29,unemployed,single,unknown,no,67,no,no,cellular,2,28,jan,2,-1,0,unknown,no
68524966,Belfast,UK,55,housemaid,married,primary,no,3680,no,no,unknown,5,16,jun,1,-1,0,unknown,no
77445509,Manchester,UK,31,self-employed,single,secondary,no,762,no,no,cellular,2,11,aug,3,-1,0,unknown,no
37667002,Manchester,UK,33,management,married,tertiary,no,1047,no,no,cellular,1,8,aug,4,-1,0,unknown,yes
77976358,St Albans,UK,44,services,divorced,secondary,no,206,yes,no,cellular,4,14,may,1,365,1,failure,no
26996906,Glasgow,UK,30,services,single,secondary,no,-114,yes,no,cellular,4,21,jul,2,-1,0,unknown,no
58518536,Sunderland,UK,46,admin.,divorced,secondary,no,-637,yes,no,cellular,4,17,nov,1,-1,0,unknown,no
50333701,Wolverhampton,UK,57,management,married,primary,no,2538,no,yes,telephone,3,17,jul,2,-1,0,unknown,no
73755529,Bath,UK,46,admin.,married,secondary,no,526,no,yes,cellular,1,31,jul,3,-1,0,unknown,no
75800820,Rotherham,UK,75,retired,divorced,secondary,no,2199,no,no,telephone,1,13,nov,1,-1,0,unknown,no
51540548,Leeds,UK,32,blue-collar,single,tertiary,no,3014,yes,no,cellular,5,7,may,2,-1,0,unknown,no
67024246,Glasgow,UK,31,student,single,tertiary,no,307,no,no,cellular,1,20,nov,2,-1,0,unknown,no
17883266,Basingstoke,UK,65,retired,divorced,secondary,no,744,no,no,cellular,5,5,jul,1,-1,0,unknown,no
44630879,County Down,UK,43,unemployed,married,secondary,no,210,yes,no,unknown,5,12,may,5,-1,0,unknown,no
28991632,Newcastle upon Tyne,UK,28,management,single,secondary,no,-513,no,yes,cellular,2,29,jul,8,-1,0,unknown,no
58699637,Cambridge,UK,54,technician,married,secondary,no,10185,no,no,cellular,5,12,feb,1,186,3,success,yes
87648185,Glasgow,UK,37,self-employed,married,secondary,no,744,yes,yes,cellular,3,21,aug,3,-1,0,unknown,no
74111844,Watford,UK,30,admin.,single,secondary,no,523,no,yes,cellular,3,12,jun,3,101,1,success,no
83518265,Stockport,UK,48,housemaid,married,secondary,no,0,no,no,cellular,4,28,may,5,-1,0,unknown,yes
11263326,Poole,UK,41,services,married,unknown,yes,-1,no,yes,cellular,3,30,jul,4,-1,0,unknown,yes
13781517,Southampton,UK,29,admin.,single,tertiary,no,514,no,no,cellular,1,2,feb,1,-1,0,unknown,no
72471674,Liverpool,UK,73,retired,married,tertiary,no,1843,no,no,cellular,2,11,sep,2,-1,0,unknown,yes
40026696,London,UK,55,management,married,unknown,no,179,no,no,unknown,4,19,jun,1,-1,0,unknown,no
21123084,Liverpool,UK,48,self-employed,single,unknown,no,0,no,no,unknown,3,18,jun,1,-1,0,unknown,no
48895077,Newcastle upon Tyne,UK,78,unknown,married,unknown,no,2235,no,no,telephone,5,14,apr,3,-1,0,unknown,yes
36641952,Hartlepool,UK,37,management,single,tertiary,no,340,no,no,cellular,2,11,aug,4,-1,0,unknown,no
29617495,Newcastle upon Tyne,UK,75,retired,married,primary,no,1413,no,no,cellular,4,1,sep,2,188,2,success,yes
20938949,Preston,UK,38,technician,married,secondary,no,976,yes,no,cellular,3,14,jul,3,-1,0,unknown,yes
18260615,Milton Keynes,UK,54,entrepreneur,married,secondary,no,0,no,no,unknown,1,9,jun,1,-1,0,unknown,no
98926008,Wolverhampton,UK,41,management,married,tertiary,no,0,yes,no,unknown,1,13,may,1,-1,0,unknown,no
52531989,Basingstoke,UK,55,retired,married,secondary,no,1431,no,yes,cellular,2,28,jan,1,-1,0,unknown,no
13561341,Bristol,UK,48,admin.,married,secondary,no,50,no,yes,cellular,1,21,oct,1,-1,0,unknown,yes
98906715,Telford,UK,30,management,single,tertiary,no,2,yes,yes,cellular,2,25,jul,8,-1,0,unknown,yes
97432684,Southport,UK,40,services,single,secondary,no,316,no,no,unknown,5,11,jun,5,-1,0,unknown,no
50202178,Plymouth,UK,36,admin.,divorced,secondary,no,246,yes,no,unknown,4,16,may,2,-1,0,unknown,no
97330482,Brighton,UK,48,admin.,divorced,secondary,no,1180,no,no,cellular,4,27,jan,1,238,3,other,yes
12456056,Cheltenham,UK,34,services,single,secondary,no,-701,yes,no,cellular,4,11,may,2,-1,0,unknown,yes
51954356,High Wycombe,UK,25,admin.,single,secondary,no,483,no,yes,cellular,4,3,feb,1,-1,0,unknown,yes
53698480,Watford,UK,54,blue-collar,married,secondary,no,1636,no,no,telephone,2,20,jul,2,-1,0,unknown,yes
19879974,Manchester,UK,28,blue-collar,married,primary,no,115,yes,no,unknown,2,28,may,4,-1,0,unknown,no
39714990,Hemel Hempstead,UK,34,technician,married,secondary,no,563,yes,yes,cellular,3,29,aug,15,-1,0,unknown,no
91706765,Southport,UK,35,entrepreneur,single,tertiary,no,1800,yes,no,unknown,1,5,jun,1,-1,0,unknown,no
80475248,Preston,UK,31,services,married,secondary,no,414,yes,no,unknown,5,7,may,1,-1,0,unknown,no
37834295,Birkenhead,UK,40,blue-collar,married,secondary,no,-438,no,no,cellular,3,11,may,1,-1,0,unknown,yes
17667138,Huddersfield,UK,57,retired,married,primary,no,333,no,no,unknown,1,22,aug,2,-1,0,unknown,no
59702403,Belfast,UK,41,technician,married,tertiary,no,67,yes,no,cellular,5,19,nov,1,-1,0,unknown,yes
64032862,Southampton,UK,32,technician,single,tertiary,no,4665,yes,no,unknown,3,21,may,2,-1,0,unknown,yes
37133224,Bristol,UK,36,unemployed,single,tertiary,no,221,no,no,cellular,4,3,feb,4,-1,0,unknown,no
17155584,Gillingham,UK,32,technician,married,secondary,no,1547,no,no,cellular,5,26,oct,1,805,4,other,yes
93991903,Barnsley,UK,34,blue-collar,married,unknown,no,391,yes,yes,unknown,3,23,may,2,-1,0,unknown,no
56183657,Southampton,UK,49,management,married,tertiary,no,22520,no,no,cellular,4,21,nov,9,-1,0,unknown,yes
61686324,Wolverhampton,UK,65,retired,married,primary,no,1760,no,no,cellular,2,18,aug,4,-1,0,unknown,yes
81204271,Nottingham,UK,38,entrepreneur,married,primary,no,350,yes,no,cellular,2,8,may,1,-1,0,unknown,no
32008397,Darlington,UK,55,technician,married,secondary,no,6958,yes,yes,unknown,5,13,may,2,-1,0,unknown,no
34568710,Rochdale,UK,53,entrepreneur,married,primary,no,27,yes,no,telephone,4,10,sep,3,-1,0,unknown,yes
55152420,Telford,UK,57,management,divorced,tertiary,no,2549,no,no,cellular,3,17,jul,2,-1,0,unknown,no
83320752,Birmingham,UK,57,unemployed,married,primary,no,2743,no,no,cellular,1,29,jan,1,-1,0,unknown,no
41206519,Hemel Hempstead,UK,38,technician,divorced,tertiary,no,1805,no,no,unknown,3,9,jun,2,-1,0,unknown,yes
12492730,Stoke-on-Trent,UK,50,entrepreneur,married,primary,no,431,yes,no,cellular,1,20,apr,5,-1,0,unknown,no
38385582,Leicester,UK,35,management,single,tertiary,no,243,yes,no,unknown,4,12,may,3,-1,0,unknown,no
60142381,Oxford,UK,30,management,single,secondary,no,135,no,no,cellular,4,14,aug,2,-1,0,unknown,no
23246698,Brighton,UK,29,technician,single,secondary,no,113,no,no,cellular,1,12,feb,2,183,4,success,yes
83202003,Oxford,UK,35,self-employed,married,secondary,no,524,yes,no,cellular,2,21,nov,4,-1,0,unknown,no
16076906,Wigan,UK,48,management,divorced,tertiary,no,174,no,no,cellular,5,6,aug,2,-1,0,unknown,no
95237921,St Helens,UK,69,retired,married,primary,no,324,no,no,cellular,2,12,aug,1,189,4,success,no
62612658,Southend-on-Sea,UK,50,housemaid,married,secondary,no,388,no,no,cellular,1,8,jun,2,89,2,success,no
60925127,Bristol,UK,45,unemployed,married,secondary,no,891,yes,no,unknown,3,7,jan,1,-1,0,unknown,yes
18104217,Reading,UK,76,self-employed,married,unknown,no,4984,no,no,telephone,5,28,apr,1,182,1,success,yes
11566110,Rotherham,UK,60,unemployed,married,primary,no,0,no,no,cellular,2,22,jul,1,412,1,other,yes
81756026,Gateshead,UK,22,student,single,tertiary,no,691,no,no,cellular,2,30,nov,5,103,1,success,yes
69313677,Sheffield,UK,37,unemployed,single,tertiary,no,1032,no,no,telephone,5,4,feb,1,-1,0,unknown,no
56358058,Worcester,UK,30,management,married,tertiary,no,134,yes,no,unknown,4,19,may,1,-1,0,unknown,no
29500124,London,UK,37,services,married,secondary,no,1694,yes,yes,cellular,2,29,jan,2,251,6,failure,no
22872519,London,UK,39,blue-collar,married,primary,no,70,no,no,unknown,3,8,may,1,-1,0,unknown,yes
96703076,Huddersfield,UK,29,services,single,secondary,no,695,no,no,unknown,1,3,jul,1,-1,0,unknown,no
82687931,Coventry,UK,39,blue-collar,single,secondary,no,0,no,no,cellular,4,22,jul,4,-1,0,unknown,yes
63537654,Sale,UK,34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,3,20,nov,1,-1,0,unknown,no
49078918,Southampton,UK,60,technician,married,secondary,no,0,no,no,cellular,3,25,may,4,-1,0,unknown,yes
34579399,Basingstoke,UK,36,management,single,tertiary,no,3850,yes,no,cellular,1,12,aug,2,100,4,failure,yes
73723175,Raleigh,UK,35,management,married,tertiary,no,105,yes,no,cellular,4,6,may,1,365,3,failure,no
74247772,Dundee,UK,38,entrepreneur,married,secondary,no,2139,yes,no,unknown,5,9,may,1,-1,0,unknown,no
22752214,Milton Keynes,UK,36,blue-collar,single,primary,no,79,no,no,unknown,1,20,jun,3,-1,0,unknown,no
86372183,Solihull,UK,35,management,married,secondary,no,724,yes,no,cellular,5,14,jul,2,415,1,failure,yes
67109954,Newcastle upon Tyne,UK,36,admin.,married,tertiary,no,3221,no,no,cellular,5,4,may,11,-1,0,unknown,yes
32756914,Basingstoke,UK,42,entrepreneur,married,unknown,no,206,yes,no,cellular,2,30,jul,2,-1,0,unknown,yes
88439400,Woking,UK,51,management,married,unknown,no,1708,no,no,telephone,4,29,jan,3,-1,0,unknown,no
20955756,Glasgow,UK,31,technician,divorced,secondary,no,268,no,no,unknown,3,16,may,2,-1,0,unknown,no
90416691,Woking,UK,40,blue-collar,married,primary,no,34,yes,no,cellular,2,6,may,2,344,1,failure,no
23840026,Newport,UK,45,services,married,unknown,no,8319,no,no,cellular,5,15,jun,2,-1,0,unknown,no
43594371,Oldham,UK,35,blue-collar,married,primary,no,4366,yes,no,unknown,4,28,may,3,-1,0,unknown,no
13079620,Blackburn,UK,43,management,single,tertiary,no,483,no,no,cellular,1,19,aug,6,-1,0,unknown,yes
47675270,Northampton,UK,30,blue-collar,married,secondary,no,501,yes,yes,unknown,2,27,may,1,-1,0,unknown,no
28470890,Stoke-on-Trent,UK,46,management,married,unknown,no,2466,no,no,telephone,3,1,apr,3,370,1,failure,yes
83652692,Chesterfield,UK,31,admin.,single,secondary,no,0,no,no,cellular,1,17,apr,3,-1,0,unknown,yes
50122841,Worcester,UK,27,admin.,single,secondary,no,3,yes,no,cellular,1,8,may,2,-1,0,unknown,no
31436835,London,UK,33,management,married,tertiary,no,0,yes,no,cellular,3,17,apr,1,-1,0,unknown,yes
90150181,Eastbourne,UK,32,management,divorced,tertiary,no,222,no,yes,cellular,5,15,jul,4,-1,0,unknown,yes
76541775,London,UK,32,blue-collar,married,secondary,no,3166,yes,no,cellular,1,20,nov,3,-1,0,unknown,no
58810039,Doncaster,UK,40,blue-collar,single,secondary,no,1066,yes,no,unknown,4,21,may,1,-1,0,unknown,no
57612159,Wigan,UK,57,management,married,tertiary,no,1410,yes,no,cellular,1,10,jul,1,-1,0,unknown,no
22027106,Swindon,UK,41,technician,single,secondary,no,769,no,yes,cellular,3,20,nov,4,98,4,other,no
84840983,Belfast,UK,33,management,single,tertiary,no,224,no,no,cellular,2,8,mar,2,-1,0,unknown,yes
67410692,County Down,UK,47,management,divorced,tertiary,no,12026,yes,no,telephone,1,27,oct,1,-1,0,unknown,yes
46337774,London,UK,36,admin.,married,secondary,no,1954,yes,yes,cellular,3,20,nov,2,174,3,failure,no
30712588,Southampton,UK,43,management,married,tertiary,no,240,yes,no,cellular,2,16,apr,1,-1,0,unknown,yes
70133720,Basingstoke,UK,28,admin.,single,secondary,no,762,no,no,cellular,1,18,sep,3,-1,0,unknown,yes
89615358,Chelmsford,UK,44,blue-collar,married,unknown,no,146,yes,no,unknown,5,15,may,1,-1,0,unknown,yes
44286888,Glasgow,UK,51,admin.,single,secondary,no,726,yes,no,cellular,2,27,apr,8,-1,0,unknown,yes
88390882,Milton Keynes,UK,28,technician,single,tertiary,no,11862,no,no,cellular,5,21,oct,2,238,13,other,yes
63389873,Coventry,UK,49,management,married,tertiary,no,1808,yes,no,cellular,3,1,jun,1,95,1,success,yes
20174269,Coventry,UK,37,management,married,tertiary,no,789,yes,yes,cellular,4,11,aug,1,190,2,other,no
82772208,Birmingham,UK,60,services,divorced,secondary,no,758,no,no,cellular,4,3,feb,1,-1,0,unknown,no
14852775,High Wycombe,UK,43,admin.,married,secondary,no,388,yes,no,cellular,4,19,nov,2,-1,0,unknown,no
41278405,Bedford,UK,32,student,single,tertiary,no,922,no,no,cellular,2,18,oct,2,-1,0,unknown,no
43413097,Coventry,UK,38,management,married,tertiary,no,613,no,no,cellular,1,30,apr,1,86,1,success,yes
13627115,Sheffield,UK,42,management,married,unknown,no,849,yes,no,cellular,2,8,oct,1,321,1,other,yes
48349299,London,UK,35,admin.,single,secondary,no,-32,no,yes,cellular,3,9,feb,4,182,5,failure,yes
45200255,Birmingham,UK,47,blue-collar,married,primary,no,304,yes,no,unknown,3,12,may,1,-1,0,unknown,no
39353233,Nottingham,UK,33,management,single,secondary,no,0,no,no,unknown,2,20,may,2,-1,0,unknown,no
51481189,Doncaster,UK,33,management,single,tertiary,no,816,yes,no,cellular,4,11,oct,2,503,2,failure,yes
65277939,Stoke-on-Trent,UK,40,services,married,secondary,no,0,yes,no,cellular,4,2,jun,1,28,3,failure,no
86085220,Derby,UK,36,management,single,tertiary,no,538,no,no,cellular,4,23,jun,1,183,5,success,yes
71589513,London,UK,30,admin.,married,secondary,no,873,yes,no,unknown,2,29,may,3,-1,0,unknown,yes
53764933,Liverpool,UK,32,blue-collar,single,secondary,no,435,yes,no,unknown,2,21,may,2,-1,0,unknown,no
24969905,Maidstone,UK,29,blue-collar,married,secondary,no,3310,no,no,cellular,4,1,sep,1,91,4,failure,no
35754929,Poole,UK,34,management,single,tertiary,no,747,no,no,cellular,2,31,aug,2,98,1,failure,no
73268893,Stevenage,UK,37,technician,married,unknown,no,189,no,no,cellular,5,16,jun,2,-1,0,unknown,yes
11932197,Birmingham,UK,37,blue-collar,married,primary,no,708,yes,no,telephone,5,2,feb,1,-1,0,unknown,no
12572121,Aberdeen,UK,38,management,divorced,tertiary,no,547,yes,no,unknown,2,14,may,4,-1,0,unknown,no
37528908,Belfast,UK,31,blue-collar,single,secondary,no,4415,yes,no,unknown,1,2,jun,1,-1,0,unknown,no
62199526,Manchester,UK,38,services,married,primary,no,0,no,no,cellular,4,28,jul,3,-1,0,unknown,no
80273955,Bristol,UK,60,technician,married,primary,no,65,yes,no,unknown,4,9,may,2,-1,0,unknown,yes
76215500,Coventry,UK,35,blue-collar,married,secondary,no,-461,no,no,unknown,5,23,may,1,-1,0,unknown,no
89770472,Watford,UK,36,blue-collar,married,primary,no,106,yes,no,cellular,2,29,jul,13,-1,0,unknown,no
98832042,Huddersfield,UK,37,management,single,unknown,no,715,yes,no,unknown,2,20,may,2,-1,0,unknown,no
73378046,London,UK,48,blue-collar,married,primary,no,5154,yes,no,unknown,2,14,may,1,-1,0,unknown,no
48694868,Nottingham,UK,41,self-employed,married,secondary,no,305,yes,no,cellular,5,13,may,2,-1,0,unknown,no
46332323,Warrington,UK,28,student,single,secondary,no,28,no,no,cellular,4,29,jan,2,-1,0,unknown,no
63681371,Wigan,UK,49,management,married,tertiary,no,3237,yes,no,unknown,5,5,may,3,-1,0,unknown,no
14812412,Glasgow,UK,51,management,married,tertiary,no,469,no,no,cellular,5,15,apr,1,181,2,success,yes
40465685,Hartlepool,UK,45,management,married,secondary,no,446,no,no,cellular,5,6,aug,3,-1,0,unknown,yes
88877080,London,UK,47,technician,divorced,secondary,no,236,no,no,cellular,4,18,aug,4,-1,0,unknown,no
55577827,Wolverhampton,UK,47,services,married,unknown,no,4822,yes,no,unknown,2,21,may,5,-1,0,unknown,no
77476932,Liverpool,UK,53,housemaid,married,unknown,no,0,no,no,cellular,1,22,aug,1,-1,0,unknown,no
56285702,Bolton,UK,30,technician,single,primary,no,2731,yes,no,cellular,3,14,apr,1,-1,0,unknown,no
39898352,High Wycombe,UK,38,management,single,tertiary,no,3141,no,no,cellular,2,9,nov,4,189,2,success,yes
10153521,High Wycombe,UK,33,technician,married,tertiary,no,16992,yes,no,unknown,3,29,may,1,-1,0,unknown,no
15451609,Telford,UK,34,management,married,tertiary,no,3696,no,no,cellular,5,8,apr,2,160,5,other,yes
36168685,Swindon,UK,47,admin.,married,secondary,no,829,yes,yes,unknown,4,14,may,1,-1,0,unknown,no
65874692,Birmingham,UK,49,blue-collar,married,primary,no,239,no,no,cellular,1,22,aug,3,-1,0,unknown,no
93456466,Newport,UK,57,management,married,tertiary,no,375,no,no,cellular,1,21,oct,1,-1,0,unknown,yes
53748087,Woking,UK,26,blue-collar,single,secondary,no,-29,yes,no,cellular,4,10,jul,4,-1,0,unknown,yes
61498334,Gateshead,UK,60,retired,married,secondary,no,7,no,yes,cellular,5,18,aug,5,-1,0,unknown,no
23160826,Coventry,UK,34,admin.,divorced,secondary,no,661,yes,no,cellular,2,5,aug,2,183,10,failure,yes
25719259,York,UK,59,retired,divorced,unknown,no,-49,yes,no,unknown,5,13,may,2,-1,0,unknown,no
19777755,Huddersfield,UK,55,admin.,married,secondary,no,602,no,no,cellular,1,1,jun,3,90,2,success,yes
97530554,Basildon,UK,52,management,married,primary,no,0,no,no,unknown,4,5,jun,3,-1,0,unknown,no
22725458,Cambridge,UK,38,admin.,single,secondary,no,100,yes,no,unknown,3,7,may,1,-1,0,unknown,yes
86695187,St Helens,UK,31,management,single,tertiary,no,153,no,no,cellular,3,9,feb,3,-1,0,unknown,no
80704807,Ipswich,UK,38,technician,married,unknown,no,573,yes,no,unknown,1,6,may,1,-1,0,unknown,no
92319583,Birmingham,UK,29,admin.,single,secondary,no,-498,yes,no,cellular,4,2,feb,3,227,14,failure,no
58158192,Doncaster,UK,40,services,married,secondary,no,446,yes,no,unknown,1,16,may,1,-1,0,unknown,yes
43288516,Cambridge,UK,40,management,married,secondary,no,406,yes,no,unknown,1,12,jun,2,-1,0,unknown,yes
34023553,Nuneaton,UK,40,technician,married,secondary,no,2266,no,no,cellular,3,26,may,3,89,7,other,yes
87487549,Gillingham,UK,33,unemployed,married,secondary,no,1211,no,no,cellular,3,7,aug,1,-1,0,unknown,yes
29944292,Bath,UK,33,management,married,tertiary,no,1412,yes,no,unknown,3,19,aug,1,-1,0,unknown,yes
64213606,Chelmsford,UK,45,unemployed,divorced,secondary,no,-44,yes,no,cellular,5,7,jul,2,-1,0,unknown,no
84517854,Manchester,UK,35,management,single,tertiary,no,671,yes,no,cellular,5,10,mar,1,-1,0,unknown,yes
63242173,Hemel Hempstead,UK,40,management,married,tertiary,no,16,no,yes,cellular,2,9,feb,4,-1,0,unknown,no
90229847,Ipswich,UK,62,housemaid,married,unknown,no,2021,no,no,telephone,5,26,feb,1,-1,0,unknown,yes
63136207,Kingston upon Hull,UK,53,blue-collar,married,secondary,no,913,yes,no,cellular,1,23,jul,1,-1,0,unknown,no
28958008,Kingston upon Hull,UK,30,management,single,tertiary,no,277,yes,no,cellular,3,8,may,1,42,1,other,no
74704022,Northampton,UK,53,admin.,married,secondary,no,1796,no,no,telephone,2,16,mar,1,91,2,success,yes
59588213,Bristol,UK,36,entrepreneur,married,secondary,no,546,no,no,cellular,2,9,feb,3,-1,0,unknown,no
83951046,County Down,UK,31,technician,single,tertiary,no,2744,yes,no,cellular,5,8,aug,2,-1,0,unknown,no
